Model,Year Introduced,Destroyed,Damaged,Abandoned,Captured
BMP-1(P),,702,28,91,94
BMP-1 675-sb3KDZ,,45,0,6,0
BMP-1AM,,35,4,5,8
BMP-1AM 675-sb3KDZ,,48,0,1,1
BMP-1U 'Shkval',,2,1,1,0
BMP-2(K),,1125,38,114,242
BMP-2D,,13,0,0,5
BMP-2 675-sb3KDZ,,362,3,43,2
BMP-2M Berezhok,,33,2,3,8
BMP-2M 675-sb3KDZ,,22,0,2,0
Unknown BMP-1/2,,274,5,26,0
Unknown BMP-1/2 675-sb3KDZ,,8,0,1,0
BMP-3,,331,21,38,53
BMP-3 Obr. 2020,2020,30,0,3,13
BMP-3 688A-sb6-2KP,,191,3,28,1
BMP-3 4S24 NKDZ,,2,0,0,0
MT-LBM 6MB,,15,2,1,3
BMD-2,,311,7,28,55
BMD-4,,143,5,12,11
BMD-4M Obr. 2024,2024,4,0,0,0
Unknown BMP-3 / BMD-4M,,4,0,0,0
BTR-82A(M),,645,29,40,118
BTR-82AT,,296,8,25,15